module_category	original_path	new_path	file_type	action	reason
haplotype_effect	/data03/karama/soybean_gwas_filtered/workflow/output/04_gemma_results/MR_ratio_size_effects.txt		.txt	skip	data file
cross_trait	/data03/karama/soybean_gwas_filtered/workflow/output/04_gemma_results/MR_R2_comparison.txt		.txt	skip	data file
covariates	/data03/karama/soybean_gwas_filtered/workflow/output_wild/wild_kinship.cXX.txt		.txt	skip	data file
qc	/data03/karama/soybean_gwas_filtered/workflow/output_wild/wild_kinship.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/04_gemma_wild/wild_trait_1.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/04_gemma_wild/wild_trait_2.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/04_gemma_wild/wild_trait_3.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/04_gemma_wild/wild_trait_4.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/04_gemma_wild/wild_trait_5.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/06_instruments_wild/clump_instruments_wild.sh		.sh	copy	reusable script
unknown	/data03/karama/soybean_gwas_filtered/workflow/09_gsmr_input_wild/100SW.gsmr.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas_filtered/workflow/09_gsmr_input_wild/Protein.gsmr.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas_filtered/workflow/09_gsmr_input_wild/Oil.gsmr.txt		.txt	skip	data file
transforms	/data03/karama/soybean_gwas_filtered/workflow/09_gsmr_input_wild/log_ratio.gsmr.txt		.txt	skip	data file
qc	/data03/karama/projects/soybean_analysis/test_ld_chr1.sh		.sh	archive_duplicate	debug/temporary version
qc	/data03/karama/projects/soybean_analysis/run_ld_decay.sh		.sh	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/wild/post_gwas/wild_gwas_files.txt		.txt	skip	data file
significant_snps	/data03/karama/projects/soybean_analysis/wild/post_gwas/check_snp.py		.py	copy	reusable script
transforms	/data03/karama/projects/soybean_analysis/wild/post_gwas/significant_snps/sig_summary.txt		.txt	skip	data file
qc	/data03/karama/projects/soybean_analysis/wild/ld_analysis/run_ld_decay.sh		.sh	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/wild/ld_analysis/test_chr1.sh		.sh	archive_duplicate	debug/temporary version
qc	/data03/karama/projects/soybean_analysis/wild/ld_analysis/run_ld_decay_full.sh		.sh	copy	reusable script
qc	/data03/karama/projects/soybean_analysis/wild/ld_analysis/run_haplotype_blocks.sh		.sh	copy	reusable script
ld_analysis	/data03/karama/projects/soybean_analysis/wild/ld_analysis/compute_ld_decay_summary.py		.py	copy	reusable script
