module_category	original_path	new_path	file_type	action	reason
covariates	/data03/karama/soybean_gwas_filtered/workflow/04_gemma/kinship.cXX.txt		.txt	skip	data file
qc	/data03/karama/soybean_gwas_filtered/workflow/04_gemma/kinship/kinship.log.txt		.txt	copy	configuration/template file
cross_trait	/data03/karama/soybean_gwas_filtered/workflow/05_gsmr_correlation/trait_list.txt		.txt	skip	data file (numeric table)
cross_trait	/data03/karama/soybean_gwas_filtered/workflow/05_gsmr_correlation/trait_list_clean.txt		.txt	skip	data file (numeric table)
cross_trait	/data03/karama/soybean_gwas_filtered/workflow/05_gsmr_correlation/trait_list_fixed.txt		.txt	skip	data file (numeric table)
qc	/data03/karama/soybean_gwas_filtered/workflow/output/size_analysis.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/output/protein_analysis.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/output/oil_analysis.log.txt		.txt	copy	configuration/template file
unknown	/data03/karama/soybean_gwas_filtered/workflow/output/MVMR_input_matrix.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas_filtered/workflow/output/MVMR_IV_strength.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas_filtered/workflow/output/MVMR_results_main.txt		.txt	skip	data file
ld_analysis	/data03/karama/soybean_gwas_filtered/workflow/output/MR_results_size_as_exposure.txt		.txt	skip	data file
cross_trait	/data03/karama/soybean_gwas_filtered/workflow/output/plot_fig2_style_r2.py		.py	copy	reusable script
covariates	/data03/karama/soybean_gwas_filtered/workflow/output/kinship.cXX.txt		.txt	skip	data file
qc	/data03/karama/soybean_gwas_filtered/workflow/output/kinship.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/output/ratio_gwas.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/output/ratio_gwas_filtered.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/output/04_gemma_results/size.log.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/workflow/output/04_gemma_results/ratio.log.txt		.txt	copy	configuration/template file
unknown	/data03/karama/soybean_gwas_filtered/workflow/output/04_gemma_results/MVMR_input_matrix.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas_filtered/workflow/output/04_gemma_results/MR_ratio_to_size_IVW.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas_filtered/workflow/output/04_gemma_results/MR_size_to_ratio_IVW.txt		.txt	skip	data file
